"SUBJECT","GROUP","RESPONSE","TIME"
8,1,78.8162,60
10,1,71.2811,50
10,1,78.492,60
10,1,82.4924,70
10,1,82.3772,80
10,1,84.8116,90
10,1,84.2912,100
10,1,83.863,110
13,1,66.6033,50
13,1,70.6045,60
13,1,72.0694,70
13,1,73.8783,80
13,1,75.8222,90
13,1,78.2432,100
13,1,79.6492,110
16,1,72.7186,50
16,1,81.5659,60
16,1,82.134,70
16,1,83.006,80
16,1,83.7377,90
16,1,84.8999,100
16,1,86.8332,110
17,1,73.2462,50
17,1,80.9568,60
17,1,78.4092,70
17,1,81.2712,80
17,1,83.4086,90
27,1,70.4557,50
27,1,78.4092,60
27,1,79.404,70
27,1,80.8022,80
27,1,82.662,90
27,1,82.8794,100
27,1,85.703,110
28,1,70.1783,50
30,1,72.2496,50
30,1,75.4321,60
31,1,70.8308,50
31,1,75.8024,60
31,1,80,70
31,1,81.6333,80
31,1,82.0061,90
31,1,80.8084,100
31,1,82.6801,110
32,1,70.1783,50
32,1,72.4707,60
32,1,75.8222,70
32,1,76.6094,80
33,1,69.1158,50
33,1,74.3303,60
33,1,76.8505,70
33,1,77.0065,80
33,1,78.5175,90
33,1,81.6884,100
34,1,73.0068,50
34,1,77.5242,60
34,1,77.201,70
34,1,82.801,80
34,1,81.3204,90
34,1,83.4086,100
35,1,75.0733,50
35,1,78.032,60
35,1,80.1561,70
35,1,83.006,80
35,1,82.2192,90
35,1,84.0536,100
35,1,84.8764,110
37,1,69.7711,50
37,1,74.4043,60
37,1,76.6094,70
37,1,77.3886,80
37,1,82.4197,90
37,1,80.2808,100
37,1,82.662,110
38,1,71.5612,50
38,1,78.0064,60
38,1,81.6884,70
38,1,79.3221,80
39,1,74.027,50
39,1,75.4718,60
39,1,79.511,70
39,1,80.4487,80
40,1,70.3449,50
40,1,76.844,60
40,1,76.6942,70
40,1,81.0247,80
40,1,81.3449,90
41,1,73.2462,50
41,1,78.2368,60
41,1,79.6492,70
41,1,80.2122,80
41,1,84.8116,90
41,1,82.3286,100
41,1,85.2115,110
1,2,69.3397,50
1,2,73.2462,60
1,2,77.3886,70
1,2,78.1025,80
1,2,76.4853,90
1,2,77.801,100
1,2,79.0569,110
7,2,70.8025,50
7,2,75,60
7,2,76.844,70
7,2,81.0247,80
7,2,80.604,90
7,2,82.801,100
7,2,83.8153,110
12,2,74.2765,50
12,2,77.7817,60
12,2,79.9062,70
12,2,84.6463,80
14,2,71.1196,50
14,2,74.4043,60
14,2,75.452,70
49,2,69.4622,50
49,2,74.686,60
49,2,75.743,70
49,2,78.2432,80
49,2,77.1557,90
49,2,77.4661,100
49,2,80.2808,110
50,2,73.2462,50
50,2,74.6525,60
50,2,76.844,70
50,2,80.2808,80
50,2,80.604,90
50,2,82.3772,100
50,2,83.4086,110
51,2,68.884,50
51,2,72.9178,60
51,2,76.0592,70
51,2,79.2023,80
52,2,71.4213,50
52,2,76.844,60
52,2,77.666,70
52,2,81.8352,80
52,2,81.4002,90
52,2,83.4086,100
52,2,84.7231,110
53,2,70.4557,50
53,2,72.1249,60
53,2,75.452,70
53,2,78.6003,80
53,2,77.3369,90
53,2,79.8812,100
53,2,80.8022,110
54,2,67.6018,50
54,2,70.6612,60
54,2,74.2024,70
56,2,69.3109,50
56,2,73.9256,60
56,2,75.4718,70
56,2,77.7817,80
57,2,72.2011,50
57,2,76.0066,60
57,2,77.0779,70
57,2,80.1561,80
57,2,81.3941,90
57,2,83.4865,100
57,2,82.662,110
59,2,70.8378,50
60,2,70.214,50
60,2,75.4321,60
60,2,77.4209,70
60,2,79.0569,80
60,2,77.2334,90
60,2,81.0247,100
60,2,83.5284,110
62,2,71.7008,50
62,2,74.8131,60
63,2,68.4763,50
63,2,75.4718,60
63,2,76.4003,70
63,2,78.2304,80
63,2,78.5493,90
63,2,80.2808,100
63,2,81.3941,110
64,2,70.8025,50
64,2,73.4098,60
64,2,75.6042,70
64,2,78.6448,80
64,2,79.0253,90
64,2,80.604,100
64,2,81.8841,110
3,3,75.0067,50
3,3,78.5684,60
3,3,79.925,70
3,3,80.7775,80
5,3,67.9559,50
6,3,76.0066,50
6,3,78.2943,60
6,3,81.2158,70
9,3,70.8308,50
9,3,74.9533,60
9,3,75.1665,70
9,3,77.666,80
9,3,82.7345,90
11,3,71.8471,50
11,3,75.1332,60
11,3,76.2168,70
20,3,72.8354,50
20,3,78.5684,60
20,3,80.604,70
20,3,82.0731,80
22,3,70.7248,50
22,3,74.8131,60
22,3,75.1665,70
22,3,77.0065,80
22,3,81.0247,90
22,3,78.492,100
22,3,81.8413,110
23,3,74.5185,50
24,3,73.4983,50
24,3,75.591,60
24,3,77.9359,70
24,3,79.196,80
24,3,81.0247,90
24,3,82.4621,100
24,3,86.2844,110
25,3,69.6419,50
25,3,74.0945,60
25,3,78.3901,70
26,3,74.027,50
26,3,77.5242,60
26,3,81.8352,70
26,3,81.6333,80
43,3,70.2922,50
43,3,76.0263,60
43,3,77.8332,70
43,3,79.511,80
43,3,80.2808,90
44,3,70.8025,50
44,3,75.2861,60
44,3,78.3901,70
44,3,80.9197,80
44,3,79.6053,90
44,3,80.6226,100
44,3,82.662,110
47,3,66.8431,50
47,3,73,60
47,3,74.6525,70
47,3,77.4661,80
47,3,77.1038,90
48,3,70.6045,50
48,3,74.9533,60
48,3,78.4092,70
48,3,78.6003,80
48,3,80.7217,90
48,3,82.801,100
48,3,83.006,110
